site,20a,20b,20c,,,
74,0,0,,,,
169,0,0,,,,
184,4,5,3,,,
203,0,0,,,,
258,0,0,,,,
279,0,0,2,,,
296,0,0,,,,
331,0,0,,,,
352,0,1,,,,
408,0,0,,,,
422,3,2,,,,
488,0,0,,,,
494,0,0,,,,
573,0,0,,,,
592,1,0,,,,
628,0,0,,,,
635,0,0,,,,
659,2,0,,,,
664,0,0,,,,
723,0,0,,,,
724,0,0,,,,
887,0,0,,,,
982,0,0,,,,
990,1,0,,,,
1045,0,1,,,,
1237,0,0,,,,
1309,0,0,,,,
1408,0,0,,,,
1548,0,0,,,,
1586,0,0,0,,,
1662,1,0,,,,
1726,0,0,,,,
1749,0,0,,,,
1764,40,728,0,398,202,300
1859,0,0,,,,
1981,0,0,,,,
2148,0,0,,,,
2149,0,6,,,,
